"age","age_midpt","city","cases","population"
"40-54",47,"Fredericia",11,3059
"55-59",57,"Fredericia",11,800
"60-64",62,"Fredericia",11,710
"65-69",67,"Fredericia",10,581
"70-74",72,"Fredericia",11,509
"75<=",75,"Fredericia",10,605
"40-54",47,"Horsens",13,2879
"55-59",57,"Horsens",6,1083
"60-64",62,"Horsens",15,923
"65-69",67,"Horsens",10,834
"70-74",72,"Horsens",12,634
"75<=",75,"Horsens",2,782
"40-54",47,"Kolding",4,3142
"55-59",57,"Kolding",8,1050
"60-64",62,"Kolding",7,895
"65-69",67,"Kolding",11,702
"70-74",72,"Kolding",9,535
"75<=",75,"Kolding",12,659
"40-54",47,"Vejle",5,2520
"55-59",57,"Vejle",7,878
"60-64",62,"Vejle",10,839
"65-69",67,"Vejle",14,631
"70-74",72,"Vejle",8,539
"75<=",75,"Vejle",7,619
